緯度,経度,郵便番号,都道府県,市区町村,町名,丁目,番,号,マンション名
35.7582548,139.7421456,,東京都,,,,,,(株式会社)ナカ・コーポレーション
35.7782268,139.5216676,,東京都,清瀬市,,上清戸二丁目,2,20,",けやき通りA"
35.6016465,139.3658986,,東京都,,,,,,01・シティウェスタ
35.6554373,139.6918857,,東京都,,,,,,1990ヒルズ渋谷
35.6557673,139.3414274,,東京都,,,,,,1993 Liberty House
35.5499153,139.7484056,144-0043,東京都,大田区,,羽田四丁目,5,10,39Bld.A
35.5500021,139.7484376,144-0043,東京都,大田区,,羽田四丁目,5,9,39Bld.B
35.6868577,139.6514459,,東京都,,,,,,3Mハイツ
35.6408221,139.6101843,,東京都,,,,,,6 SIX SOSHIGAYA
35.7371311,139.6055425,,東京都,,,,,,6ホワイトハイツ石神井公園
35.6297919,139.4316129,206-0041,東京都,多摩市,,愛宕4-7-7,,,7. アーバンヒルズ
35.6427214,139.668714,,東京都,,,,,,ABCビルディング
35.6458948,139.7135752,,東京都,,,,,,ABEビル恵比寿
35.6955808,139.7817791,,東京都,,,,3,5,ADENIUM
35.683873,139.5666236,,東京都,三鷹市,下連雀,八丁目,4,5,ADGRANDE MITAKA WEST RESIDENCE
35.7804704,139.7167809,,東京都,,,,,,AI-House HUB-4
35.7033999,139.7777693,,東京都,,台東,2丁目,25,2,AIR秋葉原
35.758364,139.7432305,,東京都,,,,,,AISEI Residence
35.7332083,139.7547019,,東京都,,,,,,AIビル
35.7179451,139.7990324,111-0032,東京都,台東区,,4丁目,1,11,AKビル
35.7050138,139.5743744,,東京都,,,,,,ALBA PLAZA
35.7075245,139.6486195,,東京都,,,,,,ALREST
35.6508683,139.6817408,,東京都,,,,,,ALSOLE
35.6927286,139.8130605,130-0022,東京都,江東区,,江東橋五丁目,16,2,ALTERNA KINSHICHO
35.7490989,139.7385362,,東京都,,,,,,ALTERNA Oji-Asukayama
35.6896966,139.5942482,,東京都,,,,,,ALTHAEA
35.7362437,139.751454,,東京都,,,,,,ALVINESS D Komagome
35.6797908,139.6311716,,東京都,,,,,,AMENITY HAMADAYAMA
35.6734456,139.661438,,東京都,,,,,,AMITY.Ⅱ
35.6651003,139.7462458,,東京都,,,,,,AMコーポ
35.6761385,139.6676744,,東京都,,,,,,ANIMO笹塚
35.7005377,139.7821469,,東京都,,浅草橋,5丁目,14,,ANNEX NARA
35.7460256,139.7335021,,東京都,,,,,,ANNEX-Ⅵ
35.627482,139.7267724,,東京都,,,,,,ANTENIA東五反田
35.7322124,139.7396633,,東京都,,,,,,AO Bldg.
35.7039765,139.7727104,,東京都,千代田区,外神田,5丁目,5,,APEX秋葉原
35.7206188,139.693674,,東京都,,,,,,APRICOT
35.7033139,139.6103597,,東京都,,,,,,APRILE荻窪
35.6754847,139.6671528,,東京都,,,,,,ARBOREOUS HOUSE SASAZUKA
35.6169398,139.7063615,,東京都,,,,,,ARC'S 武蔵小山
35.7687587,139.7448055,,東京都,足立区,新田,3丁目,21,,ARPEGE樹
35.6979892,139.5409067,,東京都,,,,,,ARUKOT MUSASHINO
35.7037952,139.6145111,,東京都,,,,,,ARUMIK HOUSE
35.563461,139.7266777,144-0031,東京都,大田区,,東蒲田一丁目,21,15,AS ONE Higashi Kamata Residence
35.6600651,139.7783304,,東京都,,,,,,ASCOT PARK KACHIDOKI
35.7338397,139.7575979,,東京都,,,,,,ASYLCOURT 山手動坂
35.7035084,139.770877,,東京都,千代田区,外神田,6丁目,12,6,ATLAS CHIYODA SUEHIROCHO
35.6756377,139.6705209,,東京都,,,,,,ATLAS SASAZUKA
35.5482983,139.7486359,144-0043,東京都,大田区,,羽田五丁目,23,11,ATRIOFLATS羽田
35.6368851,139.7384695,,東京都,,,,15,15,AVANZARE TAKANAWA
35.7398162,139.7471734,,東京都,,,,,,AXAS KOMAGOME ASYLCOURT
35.7354253,139.7514596,,東京都,,,,,,AXAS KOMAGOME Luxease
35.7542112,139.7355234,,東京都,,,,,,AXASAZESTOUJI
35.72679,139.5145001,,東京都,,,,,,AXIS-K3
35.7167094,139.7658943,,東京都,,,,,,AZALEA NEZU
35.5479114,139.7522225,144-0043,東京都,大田区,,羽田五丁目,30,15,AZEST-RENT羽田1
35.5477588,139.7469066,144-0043,東京都,大田区,,羽田三丁目,3,22,AZEST-RENT羽田10
35.5454226,139.7459718,144-0043,東京都,大田区,,羽田三丁目,23,2,AZEST-RENT羽田11
35.545434,139.7459057,144-0043,東京都,大田区,,羽田三丁目,23,1,AZEST-RENT羽田12
35.5478617,139.7521732,144-0043,東京都,大田区,,羽田五丁目,30,16,AZEST-RENT羽田2
35.5483173,139.744761,144-0043,東京都,大田区,,羽田三丁目,1,11,AZEST-RENT羽田5
35.7710219,139.6406346,,東京都,,,,,,AZEST赤塚新町
35.5950874,139.7357968,,東京都,,,,,,Abiti Minamioi II
35.6240163,139.723937,,東京都,,,,,,Aden五反田
35.7184701,139.7053044,,東京都,,,,,,Adx目白
35.6521864,139.6818379,,東京都,,,,,,Aigrette N.Y
35.7265033,139.718998,,東京都,,,,,,Air Rise Tower
35.6413122,139.7521964,,東京都,,,,,,Air Tower
35.762714,139.7333333,,東京都,,,,1,1,Airy Court
35.7628657,139.7326093,,東京都,,,,1,1,Airy Court
35.6725419,139.7342871,,東京都,,,,,,Akasaka The Residence
35.7056974,139.7741463,,東京都,,上野,3丁目,20,,Albero Ueno Chojamachi
35.666761,139.7164375,,東京都,,,,,,Alps Plaza
35.5475689,139.7440612,144-0043,東京都,大田区,,羽田三丁目,5,14,AltRaom
35.7583762,139.7437342,,東京都,,,,,,Amulet
35.5753552,139.7286636,,東京都,,,,,,Angelプラシア大森
35.6020543,139.7317422,,東京都,,,,,,Arcadia Ōi
35.6270236,139.7360913,108-0074,東京都,港区,高輪,4丁目,,,Ariete Takanawa
35.7544856,139.7357119,,東京都,,,,,,Arox
35.6890106,139.812272,135-0001,東京都,江東区,,住吉一丁目,,,Arperge
35.7044232,139.6068315,,東京都,,,,,,Art-Full Nishiogikubo
35.6906359,139.8139572,135-0001,東京都,江東区,,毛利一丁目,10,14,Artessimo Ardito
35.7036785,139.7832451,,東京都,,小島,1丁目,3,,Artessimo Rigs
35.7341847,139.7553798,,東京都,,,,,,Arts Komagome
35.6862318,139.7988326,,東京都,,,,,,Arts Morishita
